carousel,slide,file_name,topic,key_message,services_mentioned,cta_email
Carousel 01,Slide 01,carousel_01_speed_to_lead_slide_01.png,Speed to lead,Every missed roofing call is a job you may never win,,support@albertventuredesign.com
Carousel 01,Slide 02,carousel_01_speed_to_lead_slide_02.png,Pain points,Slow response kills roofing leads,"",support@albertventuredesign.com
Carousel 01,Slide 03,carousel_01_speed_to_lead_slide_03.png,Solution,Win more roofing jobs with faster follow-up,"AI Websites; Google & Meta Ads; AI Lead Qualification; CRM & Follow-Up Automation; Social Content Systems",support@albertventuredesign.com
Carousel 02,Slide 01,carousel_02_trust_before_the_call_slide_01.png,Trust trigger,Homeowners judge your roofing company before they call,,support@albertventuredesign.com
Carousel 02,Slide 02,carousel_02_trust_before_the_call_slide_02.png,Pain points,Weak online trust leads to lost opportunities,,support@albertventuredesign.com
Carousel 02,Slide 03,carousel_02_trust_before_the_call_slide_03.png,Solution,Build trust that books more roof inspections,"AI Websites; Review & Reputation Systems; Google & Meta Ads; AI Lead Qualification; Social Content Systems",support@albertventuredesign.com
Carousel 03,Slide 01,carousel_03_year_round_pipeline_slide_01.png,Seasonality,Storm season spikes off-season stalls,,support@albertventuredesign.com
Carousel 03,Slide 02,carousel_03_year_round_pipeline_slide_02.png,Pain points,Manual marketing creates a feast-or-famine pipeline,,support@albertventuredesign.com
Carousel 03,Slide 03,carousel_03_year_round_pipeline_slide_03.png,Impact,Burnout empty calendars wasted spend,,support@albertventuredesign.com
Carousel 03,Slide 04,carousel_03_year_round_pipeline_slide_04.png,Solution,Build a roofing growth system that works year-round,"AI Websites; Google & Meta Ads; AI Lead Qualification; CRM & Follow-Up Automation; SMS & Email Nurture",support@albertventuredesign.com
